signal_ts,s,date,side,hold_bars,exit_type,ret_trigger_bps,ret_fill_bps,ret_with_stop_bps,stopped,tod_bucket,f01_atr5_bps,f02_atr5_slope_3,f03_bar_range_over_atr,f04_rsi_jump,f05_bars_since_cross,f06_buffer_over_range,f07_minutes_since_open,f08_ret_since_open_bps,f09_dist_from_vwap_bps,f10_session_range_over_adr,f11_overnight_gap_bps,f17_day_of_week,f12_spy_align,f13_qqq_align,f14_spy_dia_corr_20,f15a_spy_rvol20,f15b_spy_rvol20_chg,f16a_is_fomc_day,f16b_days_to_fomc,selected_oof
2018-06-01 14:10:00-04:00,9727,2018-06-01,short,7,recross,-12.594970137732185,-12.594970137732185,-10.563523341324476,True,close,6.100762336618297,1.5571942981259301,1.4647062186417241,-4.883915863611421,55.0,0.09090909090909138,275.0,-4.063388866314275,4.2381880876412055,0.4963290577529366,-78.63051846998066,4,11.693342103341609,14.76463435817199,0.9288317144525964,10.47599395421778,-0.00048297595642488034,0.0,12.0,False
2018-06-01 14:45:00-04:00,9734,2018-06-01,long,5,recross,-9.331764514950695,-9.331764514950695,-10.017446342354477,True,close,6.230343151708134,1.3705812715248342,1.3474718496440685,5.431504236034058,7.0,0.0966650555824115,310.0,14.221861032100541,5.889289937072113,0.4963290577529366,78.63051846998066,4,7.680772466258645,3.477656059815981,0.9363614901851908,10.47599395421778,-0.00048297595642488034,0.0,12.0,True
2018-06-01 15:10:00-04:00,9739,2018-06-01,short,9,recross,-3.655713067143402,-3.655713067143402,-3.655713067143402,False,close,5.726053596604439,0.5100222580809621,1.286592184380525,-6.534449846635667,5.0,0.11025358324145751,335.0,-5.282405526208674,3.2282748138956316,0.4963290577529366,-78.63051846998066,4,11.695051531320777,12.74697259400881,0.9272723692324627,10.47599395421778,-0.00048297595642488034,0.0,12.0,True
2018-06-05 10:25:00-04:00,9838,2018-06-05,short,1,recross,-6.433927275659587,-6.433927275659587,-6.433927275659587,False,open,6.037422142515788,-0.791118361987464,0.8678907203220309,-5.273253462406927,4.0,0.15384615384615924,50.0,2.417794970986552,2.772647978961168,0.29361939554293215,1.2087513598453257,1,-0.5450581395338716,-4.003202562048447,0.7104329926120181,10.15660684997804,-0.7219325961867842,0.0,8.0,False
2018-06-05 10:30:00-04:00,9839,2018-06-05,long,1,recross,-6.849315068493792,-7.638397612437247,-7.638397612437247,False,open,6.198354206005984,-0.5559739741209064,1.1051106155495718,3.1454485558334255,1.0,0.1176470588235184,55.0,0.8059316569958991,0.4442195444827563,0.29361939554293215,-1.2087513598453257,1,0.0,-2.285061411027023,0.7216592032417161,10.15660684997804,-0.7219325961867842,0.0,8.0,False
2018-06-05 13:05:00-04:00,9870,2018-06-05,long,28,recross,5.650173541043924,5.650173541043924,5.650173541043924,False,midday,6.297929363430356,-1.7282225305986234,0.8973651080362998,2.1427479867785024,30.0,0.14285714285715678,210.0,-17.730496453900617,-5.527068709096892,0.6647462325576659,-1.2087513598453257,1,4.733296923356001,7.455410907839521,0.9681797022787698,10.15660684997804,-0.7219325961867842,0.0,8.0,False
2018-06-05 15:25:00-04:00,9898,2018-06-05,short,1,recross,-4.437452095688154,-4.437452095688154,-4.437452095688154,False,close,5.727590715732569,1.4288337487874836,1.4085230999944414,-4.99634608215046,28.0,0.09999999999999147,350.0,10.074145712443585,-0.47938645746294895,0.6647462325576659,1.2087513598453257,1,15.615920976176367,16.584696328492132,0.9338755584391745,10.15660684997804,-0.7219325961867842,0.0,8.0,True
2018-06-11 11:20:00-04:00,10161,2018-06-11,long,39,recross,18.55800363262933,18.55800363262933,18.55800363262933,False,midday,6.774078406075884,-0.49126888837584737,0.8744917715701958,1.986289291775691,4.0,0.13333333333332828,105.0,-16.063401939909927,-7.011708914102857,0.4307446629685629,14.214641080313262,0,0.5026550960263165,8.596973865200308,0.7946850223471836,9.601923410456985,-0.4194325179162952,0.0,2.0,False
2018-06-12 11:45:00-04:00,10244,2018-06-12,long,9,recross,-0.39458627629007326,-0.39458627629007326,-0.39458627629007326,False,midday,5.333008926198261,-0.6969505489098848,0.8879432017621042,2.5674971848086656,28.0,0.16666666666666036,130.0,-13.005438637976374,4.5072404885768345,0.41962573633694433,13.812699790837158,1,12.490271689422627,20.542082738945755,0.9072192016996886,9.592264199702951,-0.009659210754033865,0.0,1.0,False
2018-06-14 13:35:00-04:00,10422,2018-06-14,long,3,recross,-9.507586261538211,-9.507586261538211,-9.507586261538211,False,midday,5.778620371799703,0.7877751543625147,1.85111347843045,8.765840535930828,38.0,0.07407407407407127,240.0,-29.625533259598672,-2.1165034533316702,1.0414391570468866,39.25922988460202,3,10.765807794443916,15.209553853086089,0.8490406367475618,9.305616992370082,-0.2876323129752869,0.0,48.0,True
